"serialnumber","listyear","daterecorded","town","address","assessedvalue","saleamount","salesratio","propertytype","residentialtype","nonuse.code","assessorremarks","opmremarks","location","assessedvalue_true"
80285,2008,"02/02/2009","New Haven","95 FOUNTAIN TER",162960,212,0.768679245,"Single Family","Single Family","","","","",232.8
80434,2008,"01/26/2009","New Haven","405 POPLAR ST",100380,130,0.772153846,"Single Family","Single Family","","","","",143.4
80540,2008,"04/13/2009","New Haven","380 WINTHROP AV",136500,110,1.240909091,"Single Family","Single Family","10 - A Will","","","",195
80698,2008,"06/23/2009","New Haven","29 BENTON ST",162190,247,0.656639676,"Single Family","Single Family","","","","",231.7
80050,2008,"10/21/2008","New Haven","657 WINCHESTER AV",138530,221,0.626832579,"Single Family","Single Family","","","","",197.9
80595,2008,"05/26/2009","New Haven","249 JAMES ST",118790,126,0.942777778,"Single Family","Single Family","25 - Other","AFFIDAVIT FILED BEFORE SALE, SPECIAL MORTGAGES BY GRANTEE","","",169.7
80658,2008,"06/11/2009","New Haven","60 PERKINS ST",129290,41,3.153414634,"Single Family","Single Family","13 - Bankrupcy","","","",184.7
80278,2008,"01/29/2009","New Haven","1425 QUINNIPIAC AV#107",86170,91,0.946923077,"Single Family","Single Family","13 - Bankrupcy","","","",123.1
80143,2008,"11/24/2008","New Haven","21 BAILEY ST",93520,55,1.700363636,"Single Family","Single Family","13 - Bankrupcy","","","",133.6
80147,2008,"11/26/2008","New Haven","184 KNEELAND RD",169470,265,0.639509434,"Single Family","Single Family","","","","",242.1
80670,2008,"06/15/2009","New Haven","615 FOUNTAIN ST",127820,108.5,1.178064516,"Single Family","Single Family","14 - Foreclosure","","","",182.6
80475,2008,"02/27/2009","New Haven","674 WINTHROP AV",144340,70.5,2.047375887,"Single Family","Single Family","13 - Bankrupcy","","","",206.2
80274,2008,"01/27/2009","New Haven","1423 QUINNIPIAC AV# 902",106890,110,0.971727273,"Single Family","Single Family","","","","",152.7
80521,2008,"03/31/2009","New Haven","147 LLOYD ST",128660,34.5,3.729275362,"Single Family","Single Family","13 - Bankrupcy","","","",183.8
80539,2008,"04/13/2009","New Haven","159 WEST ST",86940,41.088,2.115946262,"Single Family","Single Family","14 - Foreclosure","","","",124.2
80322,2008,"03/10/2009","New Haven","96 BROOKLAWN CIR",167930,190,0.883842105,"Single Family","Single Family","","","","",239.9
80239,2008,"01/09/2009","New Haven","393 WOODWARD AV",126000,220,0.572727273,"Single Family","Single Family","","","","",180
80308,2008,"03/05/2009","New Haven","559 WINTHROP AV",81270,46,1.76673913,"Single Family","Single Family","13 - Bankrupcy","","","",116.1
80551,2008,"05/08/2009","New Haven","1800 DEAN ST",167440,154,1.087272727,"Single Family","Single Family","14 - Foreclosure","","","",239.2
80671,2008,"06/15/2009","New Haven","615 FOUNTAIN ST",127820,75,1.704266667,"Single Family","Single Family","13 - Bankrupcy","","","",182.6
80324,2008,"03/16/2009","New Haven","146 FILLMORE ST",107240,35,3.064,"Single Family","Single Family","13 - Bankrupcy","","","",153.2
80220,2008,"12/29/2008","New Haven","221 BARNES AV",56280,87,0.646896552,"Single Family","Single Family","","","","POINT (-72.8749 41.32226)",80.4
80747,2008,"07/01/2009","New Haven","15 DIAMOND ST",120330,170,0.707823529,"Single Family","Single Family","","","","",171.9
80051,2008,"10/21/2008","New Haven","25 WILSON ST",67130,39.5,1.699493671,"Single Family","Single Family","13 - Bankrupcy","","","",95.9
80361,2008,"04/22/2009","New Haven","247 CONCORD ST",153020,100,1.5302,"Single Family","Single Family","13 - Bankrupcy","","","POINT (-72.89331 41.26462)",218.6
80307,2008,"03/04/2009","New Haven","40 FOXON HILL RD#2A",109410,85.1,1.285663925,"Single Family","Single Family","13 - Bankrupcy","","","POINT (-72.86365 41.33161)",156.3
80626,2008,"06/02/2009","New Haven","12 ALTON ST",90300,37.5,2.408,"Single Family","Single Family","13 - Bankrupcy","","","POINT (-72.90176 41.31289)",129
80638,2008,"06/05/2009","New Haven","56 HUNTINGTON RD#4",91070,64,1.42296875,"Single Family","Single Family","13 - Bankrupcy","","","",130.1
80003,2008,"10/01/2008","New Haven","15 CROFTON ST",163760,232,0.705862069,"Single Family","Single Family","","","","",233.942857142857
80227,2008,"01/02/2009","New Haven","107 BEVERLY RD",133490,185,0.721567568,"Single Family","Single Family","","","","",190.7
80715,2008,"06/26/2009","New Haven","41 KINGSWOOD DR",135940,190,0.715473684,"Single Family","Single Family","10 - A Will","","","",194.2
80352,2008,"04/20/2009","New Haven","20 BELLEVUE RD",124180,145,0.856413793,"Single Family","Single Family","","","","",177.4
80564,2008,"05/14/2009","New Haven","96 LEXINGTON AV",122850,137,0.896715328,"Single Family","Single Family","","","","POINT (-72.88737 41.30055)",175.5
80629,2008,"06/03/2009","New Haven","82 HALL ST",162750,233,0.698497854,"Single Family","Single Family","","","","",232.5
80080,2008,"11/03/2008","New Haven","25 WHITE ST",86940,35,2.484,"Single Family","Single Family","25 - Other","BELOW MARKET","","",124.2
80213,2008,"12/24/2008","New Haven","369 SHELTON AV",112700,60,1.878333333,"Single Family","Single Family","13 - Bankrupcy","","","",161
80007,2008,"10/01/2008","New Haven","351 TOWNSEND AV",156590,243,0.644403292,"Single Family","Single Family","","","","",223.7
80705,2008,"06/25/2009","New Haven","118 LAMBERTON ST",87220,38,2.295263158,"Single Family","Single Family","13 - Bankrupcy","","","",124.6
80485,2008,"03/05/2009","New Haven","150 EVERIT ST# A",122640,171,0.717192982,"Single Family","Single Family","","","","",175.2
80651,2008,"06/10/2009","New Haven","95 LENOX ST#J",83860,108,0.776481481,"Single Family","Single Family","","","","POINT (-72.88809 41.3023)",119.8
80465,2008,"02/12/2009","New Haven","4 MANSION ST",158270,235,0.673489362,"Single Family","Single Family","","","","",226.1
80192,2008,"12/15/2008","New Haven","166 HALL ST",138390,170,0.814058824,"Single Family","Single Family","10 - A Will","","","",197.7
80019,2008,"10/08/2008","New Haven","7 FREDERICK ST",133280,123.6,1.078317152,"Single Family","Single Family","13 - Bankrupcy","","","",190.4
80046,2008,"10/20/2008","New Haven","127 FOXON HILL RD",154350,217,0.711290323,"Single Family","Single Family","","","","",220.5
80068,2008,"10/29/2008","New Haven","519 RUSSELL ST",103950,80,1.299375,"Single Family","Single Family","25 - Other","BELOW MARKET","","",148.5
80440,2008,"01/28/2009","New Haven","333 TOWNSEND AV",139510,200,0.69755,"Single Family","Single Family","","","","",199.3
80180,2008,"12/09/2008","New Haven","83 WINTHROP AV",84350,116.476,0.724183523,"Single Family","Single Family","14 - Foreclosure","","","POINT (-72.94502 41.30347)",120.5
80105,2008,"11/13/2008","New Haven","112 IRVINGTON ST",103950,146.315,0.710453474,"Single Family","Single Family","14 - Foreclosure","","","POINT (-72.88795 41.2902)",148.5
80354,2008,"04/20/2009","New Haven","58 SHERMAN AV",110460,57.75,1.912727273,"Single Family","Single Family","13 - Bankrupcy","","","",157.8
80063,2008,"10/27/2008","New Haven","243 STARR ST",74830,175,0.4276,"Single Family","Single Family","","","","",106.9
80363,2008,"04/22/2009","New Haven","113 READ ST",93030,145,0.641586207,"Single Family","Single Family","","","","",132.9
80084,2008,"11/03/2008","New Haven","41 MARKET ST",103460,120,0.862166667,"Single Family","Single Family","","","","",147.8
80054,2008,"10/22/2008","New Haven","85 PORTER ST",58520,59.9,0.976961603,"Single Family","Single Family","13 - Bankrupcy","","","",83.6
80545,2008,"04/16/2009","New Haven","1619 QUINNIPIAC AV",122780,81,1.515802469,"Single Family","Single Family","13 - Bankrupcy","","","",175.4
80224,2008,"12/30/2008","New Haven","88 HAZEL ST",48790,180,0.271055556,"Single Family","Single Family","25 - Other","RENOVATIONS","","",69.7
80533,2008,"04/08/2009","New Haven","717 WOODWARD AV",128380,90,1.426444444,"Single Family","Single Family","13 - Bankrupcy","","","",183.4
80187,2008,"12/11/2008","New Haven","37 ROCK CREEK RD",91560,131.5,0.696273764,"Single Family","Single Family","","","","",130.8
80429,2008,"01/13/2009","New Haven","50 ASYLUM ST",86730,40,2.16825,"Single Family","Single Family","25 - Other","BELOW MARKET","","",123.9
80644,2008,"06/08/2009","New Haven","730 CONGRESS AV",94850,35,2.71,"Single Family","Single Family","13 - Bankrupcy","","","",135.5
80103,2008,"11/12/2008","New Haven","279 DAVENPORT AV",93030,50,1.8606,"Single Family","Single Family","13 - Bankrupcy","","","",132.9
80694,2008,"06/23/2009","New Haven","367 WOODWARD AV",152670,116.1,1.31498708,"Single Family","Single Family","13 - Bankrupcy","","","",218.1
80667,2008,"06/15/2009","New Haven","287 GREENE ST#G-5",114520,229,0.500087336,"Single Family","Single Family","","","","",163.6
80433,2008,"01/26/2009","New Haven","55 HURLBURT ST",93520,38,2.461052632,"Single Family","Single Family","13 - Bankrupcy","","","",133.6
80911,2008,"08/12/2009","New Haven","143 EASTERN ST",117180,86,1.36255814,"Single Family","Single Family","13 - Bankrupcy","","","POINT (-72.8737 41.31026)",167.4
80025,2008,"10/10/2008","New Haven","18 BEVERLY RD",132790,179.9,0.738132296,"Single Family","Single Family","","","","",189.7
80165,2008,"12/03/2008","New Haven","441 MIDDLETOWN AV#3",158200,191.5,0.826109661,"Single Family","Single Family","","","","",226
80522,2008,"03/31/2009","New Haven","9 MEADOW VIEW ST",147490,170,0.867588235,"Single Family","Single Family","","","","",210.7
80873,2008,"08/03/2009","New Haven","22 WEYBOSSET ST",121380,155,0.783096774,"Single Family","Single Family","","","","",173.4
80892,2008,"08/06/2009","New Haven","107 HUNTINGTON RD",144830,180,0.804611111,"Single Family","Single Family","","","","",206.9
80588,2008,"05/22/2009","New Haven","30 BEVERLY RD",164640,182,0.904615385,"Single Family","Single Family","13 - Bankrupcy","","","",235.2
80513,2008,"03/26/2009","New Haven","28 POPE ST",154700,175,0.884,"Single Family","Single Family","","","","",221
80800,2008,"07/16/2009","New Haven","315 BELLEVUE RD",149170,285,0.523403509,"Single Family","Single Family","25 - Other","DUPLICATE SALE - 80789","","",213.1
80246,2008,"01/13/2009","New Haven","56 ASYLUM ST",83930,40,2.09825,"Single Family","Single Family","25 - Other","BELOW MARKET","","",119.9
80680,2008,"06/17/2009","New Haven","47 MILLER ST",84980,37,2.296756757,"Single Family","Single Family","13 - Bankrupcy","","","",121.4
80254,2008,"01/16/2009","New Haven","71 LOMBARD ST",108710,75,1.449466667,"Single Family","Single Family","13 - Bankrupcy","","","",155.3
80380,2008,"04/28/2009","New Haven","1267 QUINNIPIAC AV",128940,55,2.344363636,"Single Family","Single Family","13 - Bankrupcy","","","",184.2
80999,2008,"09/02/2009","New Haven","253 CONCORD ST",125510,62,2.024354839,"Single Family","Single Family","13 - Bankrupcy","","","",179.3
80660,2008,"06/12/2009","New Haven","1425 QUINNIPIAC AV#311",99190,70,1.417,"Single Family","Single Family","13 - Bankrupcy","","","",141.7
80856,2008,"07/31/2009","New Haven","20 GREEN HILL TER",127680,202,0.632079208,"Single Family","Single Family","","","","",182.4
80476,2008,"02/27/2009","New Haven","304 PROSPECT ST",162750,220,0.739772727,"Single Family","Single Family","13 - Bankrupcy","","","",232.5
80613,2008,"05/29/2009","New Haven","1274 FOREST RD",144830,180,0.804611111,"Single Family","Single Family","","","","POINT (-72.96828 41.32667)",206.9
80772,2008,"07/09/2009","New Haven","108 FREDERICK ST",166880,94,1.775319149,"Single Family","Single Family","13 - Bankrupcy","","","",238.4
80534,2008,"04/09/2009","New Haven","174 HAZEL ST",102550,150,0.683666667,"Single Family","Single Family","01 - Family","","","",146.5
80852,2008,"07/30/2009","New Haven","116 LOMBARD ST",88410,103.268,0.856121935,"Single Family","Single Family","13 - Bankrupcy","","","",126.3
81005,2008,"09/03/2009","New Haven","1425 QUINNIPIAC AV# 104",86170,87,0.99045977,"Single Family","Single Family","","","","",123.1
80529,2008,"04/03/2009","New Haven","421 GREENWICH AV",84560,40,2.114,"Single Family","Single Family","13 - Bankrupcy","","","",120.8
80148,2008,"11/26/2008","New Haven","466 MIDDLETOWN AV 30",61460,60,1.024333333,"Single Family","Single Family","13 - Bankrupcy","","","",87.8
81025,2008,"09/10/2009","New Haven","152 CURTIS DR",159810,177,0.902881356,"Single Family","Single Family","","","","",228.3
80991,2008,"09/01/2009","New Haven","1 FRONT ST# 200",89180,154,0.579090909,"Single Family","Single Family","","","","",127.4
80647,2008,"06/09/2009","New Haven","94 DORMAN ST",103250,90,1.147222222,"Single Family","Single Family","13 - Bankrupcy","","","",147.5
