"item","value"
"observations",279
"mean_assessedvalue_true",173.767992831541
"mean_saleamount",123.96176702509
"covariance_x_y",1657.4813764937
"variance_x",1642.39359365169
"manual_intercept",0
"manual_slope",0.8
"manual_SSE",863077.093993734
"manual_RMSE",55.618938201982
"OLS_intercept",-51.4025384996259
"OLS_slope",1.00918645987194
"OLS_SSE",779881.121333895
"OLS_RMSE",52.8703398544231
"optim_intercept",-51.4025385396832
"optim_slope",1.00918646009209
"optim_SSE",779881.121333895
"optim_convergence_code",0
"max_abs_optim_OLS_coefficient_difference",4.00573583192454e-08
